@relation SmokingDataset

@attribute Gender {M,F}
@attribute CivilStatus {Married,Single}
@attribute HasInfoAboutCessation {No,Yes}
@attribute EmploymentStatus {Employed,NotOfficeing,Officeing,Retired}
@attribute Type {RegularSmoker,SocialSmoker}
@attribute Influence {Curiosity,FamilyInfluence,PeerPressure}
@attribute Urge {Stressed,Bored,Sad,Angry,Happy}
@attribute MainAccess {Home,Office,PublicPlace,Others,Bars}
@attribute Relapsed {YES,NO}
@attribute Age_binned {'Older Adults','Middle-aged Adults',Seniors,'Young Adults',Children,Adults}
@attribute Sticks_binned {'Moderate Smoker','Very Heavy Smoker','Light Smoker','Very Light Smoker','Heavy Smoker'}
@attribute AgeStarted_binned {'Late Teens','Early Teens','Early Adulthood'}

@data
M,Married,No,Employed,RegularSmoker,Curiosity,Stressed,Home,YES,'Older Adults','Moderate Smoker','Late Teens'
F,Single,No,Employed,RegularSmoker,Curiosity,Bored,Home,YES,'Middle-aged Adults','Very Heavy Smoker','Early Teens'
M,Married,No,Employed,RegularSmoker,FamilyInfluence,Bored,Home,NO,Seniors,'Moderate Smoker','Early Teens'
M,Married,Yes,Employed,RegularSmoker,PeerPressure,Bored,Office,NO,'Older Adults','Moderate Smoker','Late Teens'
M,Married,No,Employed,RegularSmoker,Curiosity,Stressed,Office,YES,'Older Adults','Moderate Smoker','Late Teens'
F,Single,No,NotOfficeing,RegularSmoker,Curiosity,Sad,PublicPlace,NO,'Young Adults','Moderate Smoker','Late Teens'
F,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Angry,Home,NO,'Young Adults','Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Angry,PublicPlace,NO,'Young Adults','Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Angry,PublicPlace,NO,Children,'Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Stressed,Others,NO,Children,'Very Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Happy,PublicPlace,NO,'Young Adults','Very Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,Curiosity,Sad,PublicPlace,NO,Children,'Very Light Smoker','Early Teens'
M,Married,Yes,Employed,RegularSmoker,PeerPressure,Happy,Office,NO,'Older Adults','Light Smoker','Early Adulthood'
M,Married,Yes,Employed,RegularSmoker,PeerPressure,Happy,Office,NO,'Middle-aged Adults','Light Smoker','Late Teens'
M,Married,Yes,Employed,RegularSmoker,PeerPressure,Happy,Office,NO,'Older Adults','Moderate Smoker','Early Adulthood'
M,Married,Yes,Employed,RegularSmoker,FamilyInfluence,Bored,Home,NO,Seniors,'Moderate Smoker','Early Teens'
M,Married,No,Employed,RegularSmoker,FamilyInfluence,Bored,Others,NO,'Older Adults','Very Heavy Smoker','Early Teens'
M,Married,Yes,Employed,RegularSmoker,FamilyInfluence,Bored,Office,NO,'Older Adults','Moderate Smoker','Late Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Sad,PublicPlace,NO,Children,'Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Sad,PublicPlace,NO,Children,'Very Light Smoker','Early Teens'
M,Single,Yes,NotOfficeing,SocialSmoker,PeerPressure,Happy,PublicPlace,NO,Children,'Light Smoker','Early Teens'
